1課 , C   , BF , CF  , AE  , CE  , EF  , BE  , CF  , BD  , A   , B   , BD  , BC  , BD , CF  , BD  , AD  , BD  , BF  , AD  , BE  , CE  , BD  , E   , BF , EF  , C   , D   , AD  , BE  , AB , EF , CF , AD , CD  , AC , A   , AFH , CE  , A  , E   , E   , BC , AD  , AB  , DF , C  , AB  , AD  , D   , AEI , AF  , C  , BD , BF  , DF , CF , AD , D   , AE , AF , A  , AC , CE , CF  , BD , CE  , CE ,    ,     ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
1回 , AC  , BC , CE  , AC  , BD  , DE  , AD  , CD  , CDH , DE  , B   , BD  , BF  , EF , CF  , AC  , CF  , EF  , CDH , AC  , B   , BF  , E   , AE  , CE , CF  , BD  , BE  , AC  , AF  , BD , BE , E  , B  , A   , D  , AD  , BE  , BC  , B  , AE  , BF  , CF , BDI , BC  , AE , BC , AE  , CDI , AF  , BD  , AEH , D  , CF , AF  , AD , BD , BF , AEI , A  , E  , D  , E  , AC , BE  , AD , EF  , AE , CD , EF  , CD , B  ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
2課 , BD  , AC , D   , A   , CE  , CF  , BF  , B   , AB  , CD  , AEI , D   , CE  , AF , D   , D   , AF  , B   , EF  , AB  , CE  , B   , AF  , AF  , CF , AC  , DF  , E   , CE  , AF  , AC , CD , D  , BF , DE  , B  , E   , AB  , CD  , E  , BC  , DF  , AD , BD  , A   , DF , CF , AB  , BE  , AB  , CE  , AD  , C  , AE , AD  , DF , BF , CE , AE  , CD , BE , BE , AE , A  , AD  , BF , CEH ,    ,    ,     ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
2回 , BE  , AF , CE  , BE  , AC  , CE  , AB  , CE  , CE  , BE  , BEI , BD  , B   , C  , CD  , CD  , EF  , BC  , AC  , BF  , CE  , BD  , AC  , BC  , BE , DF  , CD  , AF  , C   , BF  , BF , AE , BE , D  , AE  , B  , AE  , AE  , B   , AD , CDH , BFG , DF , BE  , CF  , CE , C  , E   , AF  , BC  , BC  , BD  , AB , AE , CEI , BF , CE , BF , B   , AF , CF , CE , DE , CF , CF  , A  , CF  ,    ,    ,     ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
3課 , B   , D  , CFH , AF  , B   , CD  , A   , ADI , C   , B   , A   , ADG , CF  , A  , CE  , D   , CF  , ADI , CE  , EF  , AB  , BE  , E   , BD  , E  , AB  , BF  , B   , CD  , CFG , CD , DF , AE , BF , BD  , B  , BD  , E   , CEH , AC , AD  , BD  , B  , DE  , D   , BF , BF , C   , BE  , E   , BE  , CEH , B  , BD , EF  , AD , BC , C  , B   , C  , B  , AD , AB , CD , BDI , DE , C   , AC , AC , AE  , CD , CE , C  , C  , BF , AD , BE , AD , E  , B  , DE , AB , E  , DF , EF , BD ,
3回 , AF  , AE , AC  , BD  , BD  , AE  , AF  , CD  , AB  , CE  , CDG , A   , BDG , BD , A   , BEG , AFI , AE  , AFI , AE  , BC  , CFI , AEH , BFH , DE , BF  , BC  , BD  , BF  , A   , BE , EF , A  , BD , BD  , B  , CD  , BEG , AE  , E  , A   , CE  , CF , BD  ,     ,    ,    ,     ,     ,     ,     ,     ,    ,    ,     ,    ,    ,    ,     ,    ,    ,    ,    ,    ,     ,    ,     ,    ,    ,     ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
4課 , AE  , AF , AE  , BD  , CE  , CE  , B   , CF  , AB  , CD  , CD  , CE  , AF  , B  , CFG , BFI , BC  , AE  , E   , DE  , CF  , BD  , D   , BFH , AF , AEG , CEI , EF  , BC  , CEH , AE , A  , CF , AD , CDG , AF , AB  , EF  , CD  , B  , AE  , BF  , AD , CF  , AEG , CE , CF , CE  , AE  , CF  , DF  , CD  , CE , CF , BC  , BE , BE , B  , E   , BF , BF , DF , DF , BD , A   , D  , AD  , B  , BE , ADI , BD , AB , C  , C  , C  , E  , CF , DF , AF , BF , BC ,    ,    ,    ,    ,    ,
4回 , BD  , C  , CE  , DE  , ADI , CFH , AE  , B   , CEH , AF  , A   , EF  , BD  , BD , AD  , BEG , CE  , E   , CF  , DF  , BE  , CF  , CDH , AD  , AD , B   , AB  , AE  , BE  , CD  ,    ,    ,    ,    ,     ,    ,     ,     ,     ,    ,     ,     ,    ,     ,     ,    ,    ,     ,     ,     ,     ,     ,    ,    ,     ,    ,    ,    ,     ,    ,    ,    ,    ,    ,     ,    ,     ,    ,    ,     ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
5課 , CFG , BE , CE  , CDH , E   , BEI , AFG , AEH , AD  , CFI , BFI , AFH , ADG , B  , BFH , BEH , E   , BD  , AE  , BD  , CEH , AF  , EF  , AD  , AE , B   , AF  , E   , AB  , BDI , AF , BD , C  , AD , BD  , AB , AD  , CF  , CF  , D  , CF  , A   , EF , BD  , CEG , A  , C  , A   , CE  , BF  , BD  , A   , A  , AB , BF  , DE , A  , BD , CD  , B  , BD , BD ,    ,    ,     ,    ,     ,    ,    ,     ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
5回 , A   , AF , CE  , A   , BEH , CF  , CE  , ADI , AFI , ADI , ADI , AFG , AF  , CE , DE  , C   , BD  , BE  , D   , BDG , E   , AB  , C   , BE  , AC , CF  , E   , C   , CFI , D   , BF , BD ,    ,    ,     ,    ,     ,     ,     ,    ,     ,     ,    ,     ,     ,    ,    ,     ,     ,     ,     ,     ,    ,    ,     ,    ,    ,    ,     ,    ,    ,    ,    ,    ,     ,    ,     ,    ,    ,     ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
6課 , CDI , AB , DF  , CD  , AEG , AEI , D   , ADG , DF  , B   , BE  , CFI , CD  , AD , CE  , AEI , AFI , CEH , DE  , AD  , CF  , BD  , C   , AF  , CE , BF  , BDI , BEG , AF  , AEI , AE , AF , AD , BE , CD  , EF , BEI , C   , AB  , CE , BD  , A   , AC , AD  , DF  , CF , C  , BDI , BD  , ADI , BDH , AE  ,    ,    ,     ,    ,    ,    ,     ,    ,    ,    ,    ,    ,     ,    ,     ,    ,    ,     ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,
